order_id,customer_id,category,price,quantity,order_date,delivery_date,payment_type
101,1,Mobiles,18000,1,2024-06-01,2024-06-03,UPI
102,2,Clothing,1200,2,2024-06-02,2024-06-04,Card
103,3,Electronics,15500,1,2024-06-03,2024-06-05,COD
104,4,Home,2500,1,2024-06-04,2024-06-06,UPI
105,5,Beauty,800,3,2024-06-05,2024-06-07,COD
106,1,Books,500,2,2024-06-06,2024-06-08,UPI
107,2,Mobiles,20000,1,2024-06-07,2024-06-09,Card
108,3,Home,2600,1,2024-06-08,2024-06-10,COD
109,4,Fashion,1500,2,2024-06-09,2024-06-11,UPI
110,5,Toys,900,1,2024-06-10,2024-06-12,COD
111,6,Electronics,14000,1,2024-06-11,2024-06-13,UPI
112,7,Home,2800,1,2024-06-12,2024-06-14,Card
113,8,Mobiles,17000,1,2024-06-13,2024-06-15,COD
114,9,Books,600,2,2024-06-14,2024-06-16,UPI
115,10,Home,2300,1,2024-06-15,2024-06-17,COD
116,6,Mobiles,19000,1,2024-06-16,2024-06-18,UPI
117,7,Toys,850,3,2024-06-17,2024-06-19,Card
118,8,Beauty,750,1,2024-06-18,2024-06-20,COD
119,9,Electronics,16000,1,2024-06-19,2024-06-21,UPI
120,10,Home,2100,1,2024-06-20,2024-06-22,COD
121,11,Clothing,1100,2,2024-06-21,2024-06-23,UPI
122,12,Books,650,1,2024-06-22,2024-06-24,Card
123,13,Mobiles,18500,1,2024-06-23,2024-06-25,COD
124,14,Home,2500,1,2024-06-24,2024-06-26,UPI
125,15,Beauty,999,3,2024-06-25,2024-06-27,COD
126,11,Clothing,1300,2,2024-06-26,2024-06-28,UPI
127,12,Electronics,17500,1,2024-06-27,2024-06-29,Card
128,13,Books,550,2,2024-06-28,2024-06-30,COD
129,14,Home,2700,1,2024-06-29,2024-07-01,UPI
130,15,Mobiles,20000,1,2024-06-30,2024-07-02,COD
